"id","contaminant","incident_url","date_reported","date_incident","county","latitude","longitude","volume","units","contained","created_at","updated_at"
11219,"Fuel Oil","EIR764","2005-05-13","2005-04-28","Renville",48.997,-101.63895,," "," ","2017-03-11 23:36:22.149242","2017-03-11 23:36:22.149242"
11215,"nitric acid","EIR766","2005-05-23","2005-05-23","Richland",46.2609,-96.6066,25,"gallons"," ","2017-03-11 23:36:21.678768","2017-03-11 23:36:21.678768"
11214,"Fuel Oil","EIR767","2005-05-27","2005-05-27","Cass",46.86918,-96.78975,15,"gallons"," ","2017-03-11 23:36:21.676274","2017-03-11 23:36:21.676274"
11213,"Crude Oil","EIR768","2005-06-02","2005-06-01","Stark",46.68072,-102.69552,1,"barrels"," ","2017-03-11 23:36:21.673292","2017-03-11 23:36:21.673292"
11211,"#2 Diesel Fuel","EIR769","2005-06-08","2005-06-08","Wells",47.76771,-99.93009,30,"gallons"," ","2017-03-11 23:36:21.668573","2017-03-11 23:36:21.668573"
11212,"Non PCB containing transformer oil","EIR770","2005-06-08","2005-06-08","Mercer",47.34979,-101.91844,150,"gallons"," ","2017-03-11 23:36:21.67095","2017-03-11 23:36:21.67095"
11210,"liquid fertilizer","EIR771","2005-06-13","2005-06-13","Kidder",46.72606,-99.52214,2500,"gallons"," ","2017-03-11 23:36:21.666033","2017-03-11 23:36:21.666033"
11209,"#2 Diesel Fuel","EIR772","2005-06-20","2005-06-19","Cavalier",48.57985,-98.56857,2500,"gallons"," ","2017-03-11 23:36:21.663701","2017-03-11 23:36:21.663701"
11207,"Used oil","EIR773","2005-06-21","2005-06-21","Richland",46.30421,-96.74753,100,"gallons"," ","2017-03-11 23:36:21.658886","2017-03-11 23:36:21.658886"
11208,"10-34-0 liquid fertilizer","EIR774","2005-06-21","2005-06-20","Sargent",46.27574,-97.99635,1300,"gallons"," ","2017-03-11 23:36:21.661241","2017-03-11 23:36:21.661241"
11206,"Crude Oil","EIR775","2005-06-28","2005-06-25","Billings",46.76699,-103.45249,1,"barrels"," ","2017-03-11 23:36:21.656487","2017-03-11 23:36:21.656487"
11205,"Locomotive Lubricating Oil","EIR776","2005-07-04","2005-07-04","Mercer",47.37873,-101.83331,90,"gallons"," ","2017-03-11 23:36:21.653686","2017-03-11 23:36:21.653686"
11203,"Buccaneer Plus glyphosate herbicide","EIR777","2005-07-07","2005-07-07","Cass",46.94132,-96.82952,150,"gallons"," ","2017-03-11 23:36:21.643838","2017-03-11 23:36:21.643838"
11201,"Crude Oil","EIR778","2005-07-11","2005-07-09","Williams",48.59738,-103.93892,1,"barrels"," ","2017-03-11 23:36:21.177388","2017-03-11 23:36:21.177388"
11200,"Tordon/2,4-D at 23 oz/32 oz rate","EIR779","2005-07-12","2005-07-12","Cass",46.88404,-96.91518,0,"gallons"," ","2017-03-11 23:36:21.174659","2017-03-11 23:36:21.174659"
11202,"Environmental and health hazard","EIR780","2005-07-12","2005-07-08","Towner",48.50798,-99.02498,50000,"gallons"," ","2017-03-11 23:36:21.180151","2017-03-11 23:36:21.180151"
11204,"Coal ash leachate","EIR781","2005-07-13","2005-07-05","Traill",47.44705,-97.05997,1500,"gallons"," ","2017-03-11 23:36:21.648476","2017-03-11 23:36:21.648476"
11197,"potassium hydroxide, naptha, heptane, smokeless powder, ethyl chloride, nitro methane methanol, paint, adhesives","EIR783","2005-07-15","2005-07-15","Bowman",46.25633,-103.69153,," "," ","2017-03-11 23:36:21.166693","2017-03-11 23:36:21.166693"
11198,"thiophanate methyl","EIR784","2005-07-15","2005-07-14","Cavalier",48.75397,-98.46374,," "," ","2017-03-11 23:36:21.169313","2017-03-11 23:36:21.169313"
11199,"Ammonium Sulfate (dry formulation) and Chelated 7.5% Copper (liquid packaged in 2X2.5 gallon jugs).","EIR782","2005-07-15","2005-07-14","Cass",46.89798,-97.21065,350,"pounds"," ","2017-03-11 23:36:21.171922","2017-03-11 23:36:21.171922"
11196,"Diesel fuel","EIR785","2005-07-20","2005-07-15","Cass",46.83998,-96.85127,5,"gallons"," ","2017-03-11 23:36:21.164","2017-03-11 23:36:21.164"
11195,"Crude Oil","EIR786","2005-08-02","2005-08-02","Slope",46.62138,-103.20634,4,"barrels"," ","2017-03-11 23:36:21.16133","2017-03-11 23:36:21.16133"
11194,"Asana XL","EIR787","2005-08-04","2005-08-04","Stutsman",47.07363,-98.81649,," "," ","2017-03-11 23:36:21.158659","2017-03-11 23:36:21.158659"
11193,"transformer mineral oil","EIR788","2005-08-09","2005-08-09","Burleigh",46.80196,-100.78377,25,"gallons"," ","2017-03-11 23:36:21.155311","2017-03-11 23:36:21.155311"
11192,"Non-regulated asphalt/Diesel fuel","EIR789","2005-08-10","2005-08-09","Cass",46.89784,-96.8299,2300,"gallons"," ","2017-03-11 23:36:21.152473","2017-03-11 23:36:21.152473"
11191,"Diesel and/or Motor Oils","EIR791","2005-08-12","2005-08-11","Bottineau",48.951,-100.382,50,"gallons"," ","2017-03-11 23:36:21.149464","2017-03-11 23:36:21.149464"
